ITTER107,2012,2013,2014,2015,2016,2017,2018,2019
001001,2623,2669,2708,2665,2631,2647,2646,2635
001002,3815,3842,3806,3822,3794,3765,3726,3681
001003,465,469,473,466,469,465,456,453
001004,1803,1800,1785,1748,1718,1695,1677,1646
001005,703,712,713,713,700,712,725,
001006,6287,6377,6406,6408,6401,6423,6409,6378
001007,275,271,274,278,261,255,244,242
001008,16923,16993,17118,17115,17008,17038,16679,16379
001009,1961,1987,2001,2000,1984,2006,2027,2013
001010,519,520,513,519,505,501,494,499
001011,872,872,892,897,889,886,868,863
001012,1057,1080,1072,1057,1078,1067,1087,1075
001013,12143,12262,12499,12522,12516,12480,12443,12563
001014,1344,1344,1325,1348,1316,1308,1267,1258
001015,821,806,784,797,790,800,802,800
001016,3164,3219,3187,3190,3156,3177,3173,3163
001017,534,532,542,545,550,546,543,542
001018,3783,3783,3793,3783,3750,3760,3720,3680
001019,95,99,108,112,115,108,111,111
001020,3284,3293,3281,3259,3231,3246,3257,3239
001021,1630,1648,1629,1619,1607,1603,1594,1604
001022,3221,3226,3248,3232,3215,3173,3155,3149
001023,597,597,574,579,586,581,584,589
001024,18079,18164,18241,18237,18159,18117,17981,17936
001025,3381,3426,3488,3450,3442,3467,3463,3463
001026,564,564,571,558,563,568,555,545
001027,2103,2107,2115,2155,2137,2141,2144,2167
001028,13571,13629,13585,13599,13592,13538,11889,11912
001029,545,563,562,567,569,593,593,588
001030,3657,3762,3736,3730,3732,3740,3690,3672
001031,828,830,826,810,806,795,808,788
001032,2297,2272,2292,2252,2229,2207,2205,2209
001033,3051,3107,3103,3146,3167,3156,3146,3133
001034,8394,8530,8600,8685,8687,8707,8743,8738
001035,4527,4559,4622,4632,4616,4630,4608,4616
001036,456,447,448,445,420,409,404,394
001037,471,479,478,478,471,463,439,436
001038,8497,8552,8584,8576,8639,8635,8605,8696
001039,1718,1701,1689,1677,1665,1639,1554,1528
001040,1531,1564,1548,1537,1524,1525,1533,1526
001041,1403,1426,1438,1440,1410,1395,1370,1351
001042,1228,1235,1247,1202,1180,1188,1160,1144
001043,1596,1608,1650,1644,1687,1658,1642,1636
001044,6360,6313,6310,6136,6094,6037,5981,5941
001045,6376,6417,6411,6404,6419,6386,6435,6407
001046,3505,3509,3506,3495,3451,3425,3425,3416
001047,7451,7566,7620,7606,7586,7492,7502,7544
001048,6208,6183,6204,6158,6107,6086,6027,5980
001049,1377,1376,1364,1364,1390,1360,1370,1341
001050,1282,1271,1302,1281,1258,1262,1249,1232
001051,5601,5606,5679,5705,5669,5633,5612,5635
001052,293,276,276,282,277,272,274,277
001053,2532,2551,2574,2578,2553,2561,2613,2620
001054,551,550,558,557,564,563,562,576
001055,2107,2113,2092,2082,2086,2091,2087,2085
001056,991,979,971,942,923,929,925,902
001057,776,792,774,764,774,795,766,771
001058,9135,9181,9210,9206,9261,9353,9334,9274
001059,28650,28887,29147,29092,29079,29131,28976,28969
001060,1812,1880,1926,1923,1930,1920,1885,1887
001061,1498,1474,1499,1464,1485,1545,1531,1511
001062,2955,2995,3008,3035,3060,3049,3047,3030
001063,18366,18634,19055,19129,19136,19180,13935,13958
001064,1777,1766,1769,1788,1784,1801,1787,1782
001065,2217,2224,2256,2251,2245,2240,2246,2244
001066,9920,9903,9969,9986,9859,9999,9977,9946
001067,420,417,426,426,433,423,440,430
001068,6317,6342,6380,6447,6416,6460,6489,6501
001069,2306,2258,2264,2274,2237,2179,2114,2059
001070,5549,5595,5582,5572,5545,5498,5492,5492
001071,1859,1849,1831,1812,1803,1792,1803,1809
001072,1050,1052,1062,1054,1065,1041,1036,1045
001073,160,161,166,163,156,161,164,167
001074,1003,989,998,999,967,961,945,943
001075,366,375,375,352,345,348,343,368
001076,1694,1712,1707,1707,1675,1654,1624,1612
001077,2105,2118,2121,2118,2095,2067,2073,2058
001078,35898,36293,36797,36680,36595,36742,36858,36958
001079,203,211,217,198,205,233,236,233
001080,933,964,948,937,916,892,883,887
001081,1693,1706,1696,1664,1647,1667,1646,1622
001082,25881,26040,26837,26717,26749,26921,26976,26909
001083,373,371,367,385,384,389,387,388
001084,257,260,249,254,258,255,259,252
001085,368,358,365,339,340,358,343,330
001086,18363,18404,18869,19044,18909,18813,18639,18576
001087,191,205,220,217,214,224,209,210
001088,1546,1563,1578,1575,1547,1527,1521,1497
001089,3065,3125,3247,3280,3287,3202,3203,3236
001090,48973,49246,50057,50077,49905,49674,49597,49686
001091,349,336,344,321,332,343,330,316
001092,600,601,619,605,582,572,579,573
001093,4667,4648,4638,4639,4638,4641,4614,4596
001094,3309,3288,3282,3272,3277,3260,3250,3209
001095,523,526,512,514,494,512,500,486
001096,1003,1012,1021,1012,997,990,998,989
001097,7793,7854,7928,7909,7826,7870,7873,7895
001098,10100,10102,10030,9963,9906,9789,9728,9677
001099,8432,8522,8560,8646,8622,8695,8790,8863
001100,267,271,262,266,273,268,260,251
001101,5243,5232,5232,5202,5196,5171,5186,5247
001102,2258,2251,2324,2329,2310,2327,2298,2265
001103,550,565,559,540,544,530,521,510
001104,2686,2686,2710,2683,2695,2698,2679,2667
001105,836,825,835,818,822,798,777,769
001106,2344,2376,2393,2368,2361,2343,2328,2319
001107,3600,3546,3507,3461,3446,3432,3382,3336
001108,270,266,271,271,274,282,277,280
001109,1731,1720,1691,1680,1677,1673,1670,1641
001110,2842,2889,2893,2891,2864,2841,2853,2866
001111,559,578,587,571,572,555,541,552
001112,9537,9501,9533,9459,9432,9470,9494,9559
001113,1248,1239,1217,1193,1201,1202,1177,1166
001114,657,646,640,643,631,626,619,609
001115,16268,16255,16506,16523,16455,16483,16417,16386
001116,3644,3770,3862,3921,3914,3948,3953,3939
001117,712,699,696,687,692,693,671,676
001118,191,195,199,204,204,202,204,199
001119,1029,1031,1035,1025,1018,1026,1035,1025
001120,37210,37804,38067,37971,37966,37944,37700,37592
001121,48,45,47,50,52,47,46,44
001122,737,756,745,737,730,721,704,702
001123,392,395,399,398,396,393,380,383
001124,434,429,414,399,392,398,398,387
001125,23640,23632,23912,23657,23606,23647,23637,23442
001126,1778,1782,1799,1813,1788,1801,1825,1803
001127,8640,8812,8871,8930,8874,8856,8841,8846
001128,5158,5157,5203,5104,5086,5079,5011,5015
001129,1484,1464,1470,1464,1478,1464,1452,1436
001130,15550,15885,16130,16255,16356,16478,16375,16456
001131,189,183,184,177,179,195,189,207
001132,1980,1975,1982,1965,1938,1922,1868,1820
001133,443,460,449,434,442,456,451,442
001134,1592,1587,1569,1538,1498,1471,1450,1438
001135,1694,1726,1742,1754,1742,1738,1724,1735
001136,1059,1055,1056,1050,1050,1041,1035,1045
001137,1134,1165,1163,1187,1173,1201,1170,1166
001138,381,385,382,381,360,349,353,
001139,7560,7537,7577,7502,7395,7319,7297,7248
001140,515,491,522,524,506,499,489,496
001141,558,572,581,567,559,548,558,569
001142,1236,1244,1237,1224,1229,1201,1175,1169
001143,467,463,446,451,440,425,424,417
001144,1380,1371,1394,1386,1351,1350,1328,1306
001145,58,55,55,54,51,53,52,54
001146,3959,3906,3931,3899,3921,3895,3894,3846
001147,707,700,689,685,687,679,662,669
001148,4147,4165,4197,4194,4184,4172,4156,4142
001149,881,849,829,845,826,813,814,788
001150,1260,1261,1259,1246,1257,1289,1231,1231
001151,90,82,85,85,80,82,78,
001152,834,826,819,800,786,789,809,797
001153,409,410,414,416,415,404,406,390
001154,653,663,672,653,659,652,646,649
001155,374,371,364,361,350,348,354,346
001156,55657,55720,56884,56960,57294,57530,57234,57527
001157,42,34,36,37,36,30,29,35
001158,750,758,758,743,743,748,749,720
001159,1031,1038,1035,1010,1001,982,997,996
001160,3462,3439,3444,3429,3406,3474,3430,3401
001161,5400,5406,5443,5403,5323,5283,5262,5180
001162,899,881,910,898,883,905,905,854
001163,818,816,817,814,823,847,831,843
001164,47784,47657,48381,48265,48123,48048,47721,47494
001165,167,166,161,150,137,130,120,116
001166,6896,6894,6924,6964,6892,6861,6895,6817
001167,308,298,301,296,287,281,281,286
001168,7980,8026,8039,8058,8005,8009,8015,8022
001169,552,544,553,535,534,530,542,538
001170,1425,1469,1483,1510,1506,1513,1506,1489
